id,cdocente,ccurso,prioridad,sw_cambio,curso_id,user_id,created_at,updated_at
64,"001146","140078",2,F,1606,18,08/10/2016 12:19:49,08/10/2016 12:19:49
65,"000589","140083",1,F,1608,46,08/10/2016 12:19:49,08/10/2016 12:19:49
66,"001146","140083",2,F,1608,18,08/10/2016 12:19:49,08/10/2016 12:19:49
67,"000593","100194",3,F,75,57,08/10/2016 12:19:49,08/10/2016 12:19:49
68,"000593","110066",1,F,140,57,08/10/2016 12:19:49,08/10/2016 12:19:49
69,"000986","140069",2,F,926,123,08/10/2016 12:19:49,08/10/2016 12:19:49
70,"000731","170010",7,F,1944,1,08/10/2016 12:19:49,08/10/2016 12:19:49
71,"000743","110076",3,F,1470,19,08/10/2016 12:19:49,08/10/2016 12:19:49
72,"000244","110076",4,F,1470,108,08/10/2016 12:19:49,08/10/2016 12:19:49
73,"000193","110076",5,F,1470,73,08/10/2016 12:19:49,08/10/2016 12:19:49
74,"001149","100099",1,F,862,112,08/10/2016 12:19:49,08/10/2016 12:19:49
75,"000566","240006",6,F,1282,7,08/10/2016 12:19:49,08/10/2016 12:19:49
76,"000566","240003",4,F,1269,7,08/10/2016 12:19:49,08/10/2016 12:19:49
77,"000358","140042",1,F,1355,23,08/10/2016 12:19:49,08/10/2016 12:19:49
78,"000474","100043",1,F,786,56,08/10/2016 12:19:49,08/10/2016 12:19:49
79,"000474","100174",4,F,1262,56,08/10/2016 12:19:49,08/10/2016 12:19:49
80,"000474","100072",1,F,1261,56,08/10/2016 12:19:49,08/10/2016 12:19:49
81,"000593","110052",1,F,719,57,08/10/2016 12:19:49,08/10/2016 12:19:49
82,"000474","100130",1,F,511,56,08/10/2016 12:19:49,08/10/2016 12:19:49
83,"000986","140079",1,F,544,123,08/10/2016 12:19:49,08/10/2016 12:19:49
84,"000731","100098",3,F,302,1,08/10/2016 12:19:49,08/10/2016 12:19:49
85,"000958","100194",5,F,75,85,08/10/2016 12:19:49,08/10/2016 12:19:49
86,"000623","100098",4,F,302,49,08/10/2016 12:19:49,08/10/2016 12:19:49
87,"000661","132053",6,F,1254,50,08/10/2016 12:19:49,08/10/2016 12:19:49
88,"000029","100163",3,F,29,128,08/10/2016 12:19:49,08/10/2016 12:19:49
89,"000989","340072",1,F,282,65,08/10/2016 12:19:49,08/10/2016 12:19:49
90,"001304","140071",2,F,533,114,08/10/2016 12:19:49,08/10/2016 12:19:49
91,"001304","140072",1,F,541,114,08/10/2016 12:19:49,08/10/2016 12:19:49
92,"000743","100193",3,F,293,19,08/10/2016 12:19:49,08/10/2016 12:19:49
93,"000372","110070",1,F,289,102,08/10/2016 12:19:49,08/10/2016 12:19:49
94,"000772","110070",4,F,289,93,08/10/2016 12:19:49,08/10/2016 12:19:49
95,"000488","100017",1,F,74,127,08/10/2016 12:19:49,08/10/2016 12:19:49
96,"000593","110074",1,F,1451,57,08/10/2016 12:19:49,08/10/2016 12:19:49
97,"000244","110074",4,F,1451,108,08/10/2016 12:19:49,08/10/2016 12:19:49
98,"000193","110074",5,F,1451,73,08/10/2016 12:19:49,08/10/2016 12:19:49
99,"000593","110063",1,F,139,57,08/10/2016 12:19:49,08/10/2016 12:19:49
100,"000661","100168",5,F,469,50,08/10/2016 12:19:49,08/10/2016 12:19:49
101,"000623","140036",2,F,614,49,08/10/2016 12:19:49,08/10/2016 12:19:49
102,"000593","140064",1,F,1277,57,08/10/2016 12:19:49,08/10/2016 12:19:49
103,"000398","140064",2,F,1277,119,08/10/2016 12:19:49,08/10/2016 12:19:49
104,"000731","140064",8,F,1277,1,08/10/2016 12:19:49,08/10/2016 12:19:49
105,"001264","140064",10,F,1277,109,08/10/2016 12:19:49,08/10/2016 12:19:49
106,"000488","140067",3,F,39,127,08/10/2016 12:19:49,08/10/2016 12:19:49
107,"000346","140067",4,F,39,116,08/10/2016 12:19:49,08/10/2016 12:19:49
108,"000593","140067",6,F,39,57,08/10/2016 12:19:49,08/10/2016 12:19:49
109,"001029","140067",7,F,39,51,08/10/2016 12:19:49,08/10/2016 12:19:49
110,"000452","140067",9,F,39,26,08/10/2016 12:19:49,08/10/2016 12:19:49
111,"001149","140067",11,F,39,112,08/10/2016 12:19:49,08/10/2016 12:19:49
112,"000452","100182",2,F,1310,26,08/10/2016 12:19:49,08/10/2016 12:19:49
113,"000488","100182",4,F,1310,127,08/10/2016 12:19:49,08/10/2016 12:19:49
114,"001149","100182",5,F,1310,112,08/10/2016 12:19:49,08/10/2016 12:19:49
115,"000660","100197",1,F,284,90,08/10/2016 12:19:49,08/10/2016 12:19:49
116,"000398","100201",1,F,1754,119,08/10/2016 12:19:49,08/10/2016 12:19:49
117,"001303","100201",8,F,1754,15,08/10/2016 12:19:49,08/10/2016 12:19:49
118,"000398","100200",4,F,1602,119,08/10/2016 12:19:49,08/10/2016 12:19:49
119,"000113","150079",1,F,353,84,08/10/2016 12:19:49,08/10/2016 12:19:49
120,"000113","120009",4,F,363,84,08/10/2016 12:19:49,08/10/2016 12:19:49
121,"000113","120006",3,F,346,84,08/10/2016 12:19:49,08/10/2016 12:19:49
122,"000113","120005",1,F,1141,84,08/10/2016 12:19:49,08/10/2016 12:19:49
123,"000113","100183",1,F,1705,84,08/10/2016 12:19:49,08/10/2016 12:19:49
124,"000193","120003",1,F,376,73,08/10/2016 12:19:49,08/10/2016 12:19:49
125,"000662","120003",2,F,376,70,08/10/2016 12:19:49,08/10/2016 12:19:49
126,"000113","120008",1,F,1101,84,08/10/2016 12:19:49,08/10/2016 12:19:49
127,"000662","120008",2,F,1101,70,08/10/2016 12:19:49,08/10/2016 12:19:49
128,"000483","120008",4,F,1101,39,08/10/2016 12:19:49,08/10/2016 12:19:49
129,"001145","120009",6,F,363,5,08/10/2016 12:19:49,08/10/2016 12:19:49
130,"000029","100165",3,F,1230,128,08/10/2016 12:19:49,08/10/2016 12:19:49
131,"000730","240003",5,F,1269,91,08/10/2016 12:19:49,08/10/2016 12:19:49
132,"001422","100184",7,F,271,101,08/10/2016 12:19:49,08/10/2016 12:19:49
133,"001422","110070",5,F,289,101,08/10/2016 12:19:49,08/10/2016 12:19:49
134,"001456","100159",13,F,1094,72,08/10/2016 12:19:49,08/10/2016 12:19:49
135,"000989","100184",9,F,271,65,08/10/2016 12:19:49,08/10/2016 12:19:49
136,"000772","100188",2,F,279,93,08/10/2016 12:19:49,08/10/2016 12:19:49
137,"000743","100188",3,F,279,19,08/10/2016 12:19:49,08/10/2016 12:19:49
138,"000731","100188",7,F,279,1,08/10/2016 12:19:49,08/10/2016 12:19:49
139,"001457","110074",7,F,1451,83,08/10/2016 12:19:49,08/10/2016 12:19:49
140,"001457","110076",6,F,1470,83,08/10/2016 12:19:49,08/10/2016 12:19:49
141,"001268","160018",3,F,639,44,08/10/2016 12:19:49,08/10/2016 12:19:49
142,"000989","110070",8,F,289,65,08/10/2016 12:19:49,08/10/2016 12:19:49
143,"000989","110074",8,F,1451,65,08/10/2016 12:19:49,08/10/2016 12:19:49
144,"000358","220069",3,F,1007,23,08/10/2016 12:19:49,08/10/2016 12:19:49
145,"000358","140002",2,F,525,23,08/10/2016 12:19:49,08/10/2016 12:19:49
146,"000623","140042",2,F,1355,49,08/10/2016 12:19:49,08/10/2016 12:19:49
147,"000623","140006",2,F,1233,49,08/10/2016 12:19:49,08/10/2016 12:19:49
148,"000623","140002",3,F,525,49,08/10/2016 12:19:49,08/10/2016 12:19:49
149,"000253","160006",1,F,635,79,08/10/2016 12:19:49,08/10/2016 12:19:49
150,"000253","160007",1,F,636,79,08/10/2016 12:19:49,08/10/2016 12:19:49
151,"000420","100049",2,F,1120,27,08/10/2016 12:19:49,08/10/2016 12:19:49
152,"000420","160007",3,F,636,27,08/10/2016 12:19:49,08/10/2016 12:19:49
153,"000510","100163",4,F,29,74,08/10/2016 12:19:49,08/10/2016 12:19:49
154,"001268","240040",3,F,91,44,08/10/2016 12:19:49,08/10/2016 12:19:49
155,"001268","140075",2,F,888,44,08/10/2016 12:19:49,08/10/2016 12:19:49
156,"000590","100163",1,F,29,48,08/10/2016 12:19:49,08/10/2016 12:19:49
157,"000590","100165",1,F,1230,48,08/10/2016 12:19:49,08/10/2016 12:19:49
158,"000590","100170",2,F,831,48,08/10/2016 12:19:49,08/10/2016 12:19:49
159,"000590","100098",4,F,302,48,08/10/2016 12:19:49,08/10/2016 12:19:49
160,"000590","140067",13,F,39,48,08/10/2016 12:19:49,08/10/2016 12:19:49
161,"000590","110053",8,F,717,48,08/10/2016 12:19:49,08/10/2016 12:19:49
162,"000590","100166",2,F,1700,48,08/10/2016 12:19:49,08/10/2016 12:19:49
163,"000201","100188",9,F,279,106,08/10/2016 12:19:49,08/10/2016 12:19:49
164,"000201","100194",8,F,75,106,08/10/2016 12:19:49,08/10/2016 12:19:49
165,"000201","100037",2,F,666,106,08/10/2016 12:19:49,08/10/2016 12:19:49
166,"000201","110064",1,F,152,106,08/10/2016 12:19:49,08/10/2016 12:19:49
167,"000201","100193",2,F,293,106,08/10/2016 12:19:49,08/10/2016 12:19:49
168,"000201","110076",2,F,1470,106,08/10/2016 12:19:49,08/10/2016 12:19:49
169,"000201","110074",2,F,1451,106,08/10/2016 12:19:49,08/10/2016 12:19:49
170,"000201","100184",6,F,271,106,08/10/2016 12:19:49,08/10/2016 12:19:49
171,"000201","110070",3,F,289,106,08/10/2016 12:19:49,08/10/2016 12:19:49
172,"000236","100168",1,F,469,124,08/10/2016 12:19:49,08/10/2016 12:19:49
173,"000236","100075",1,F,1904,124,08/10/2016 12:19:49,08/10/2016 12:19:49
174,"000236","100200",1,F,1602,124,08/10/2016 12:19:49,08/10/2016 12:19:49
175,"000236","110016",2,F,471,124,08/10/2016 12:19:49,08/10/2016 12:19:49
176,"000236","100070",2,F,836,124,08/10/2016 12:19:49,08/10/2016 12:19:49
177,"000236","100201",5,F,1754,124,08/10/2016 12:19:49,08/10/2016 12:19:49
178,"000236","132053",4,F,1254,124,08/10/2016 12:19:49,08/10/2016 12:19:49
179,"000590","110072",7,F,771,48,08/10/2016 12:19:49,08/10/2016 12:19:49
180,"001149","110072",9,F,771,112,08/10/2016 12:19:49,08/10/2016 12:19:49
181,"001268","110072",10,F,771,44,08/10/2016 12:19:49,08/10/2016 12:19:49
182,"000593","100195",3,F,142,57,08/10/2016 12:19:49,08/10/2016 12:19:49
183,"000452","100190",2,F,1812,26,08/10/2016 12:19:49,08/10/2016 12:19:49
